p:alpha,p:batch_size,p:coord_feat,p:latent_ch,p:lift_act,p:lr,p:num_FNO,p:num_modes,p:num_projs,p:optimizer,p:padding,p:padding_type,p:proj_act,p:proj_size,p:weight_decay,objective_0,objective_1,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:TrainLoss,m:valLoss,m:ValR2,m:testLoss,m:testRollout
0.3756240784502264,150,False,16,softsign,1.6129122293297692e-06,12,32,13,RMSprop,1,reflect,prelu,19,0.021192329359897538,-0.11753495037555695,-1.2710904e-06,166,0.08588767051696777,175.65429830551147,1709343172.2664125,1709343347.5948699,[0.04387969709932804],[0.11753495037555695],"[-6.275674819946289, -0.6413131952285767, -2.5280120372772217, -0.007229328155517578, -4.76837158203125e-07]",0.11768903583288193,1.5737123e-05
0.4361114258220026,91,True,18,tanhshrink,2.9359684411193953e-06,14,7,11,RMSprop,11,reflect,sigmoid,12,0.024808664541522436,-0.7535071969032288,2.051521e-07,214,0.08660268783569336,175.91196608543396,1709343172.2842677,1709343347.6812918,[0.3286283612251282],[0.7535071969032288],"[-471127.34375, -46.58364486694336, -14.75123119354248, -27.855981826782227, -128.60887145996094]",0.7538468837738037,-1.9663988e-09
0.007843803332801548,150,False,15,selu,3.0065248137494626e-05,17,18,10,SGD,14,replicate,hardtanh,21,0.05529309607165832,-0.15223689377307892,0.002905142,349,0.08858919143676758,176.56837153434753,1709343172.2699537,1709343348.4910185,[-0.001615856250282377],[0.15223689377307892],"[-12137.326171875, -2.9288127422332764, -3.468815326690674, -0.01021873950958252, -0.7407321929931641]",0.1524507999420166,0.0038239418
0.3903167194501229,119,False,13,softplus,0.00025828934066539225,26,6,10,RMSprop,6,constant,softplus,13,0.003142485213092661,-0.8197594285011292,2.1376657e-07,68,0.08441615104675293,176.83824634552002,1709343172.281879,1709343348.6960394,[0.4713771382967631],[0.8197594285011292],"[-11266925.0, -125.85001373291016, -7.483508110046387, -0.4576376676559448, -108.70269775390625]",0.8198519349098206,-1.4475419e-09
0.06039674824659659,121,False,32,threshold,5.343614640920135e-06,8,8,12,RMSprop,3,reflect,softshrink,32,0.010079304968497406,-0.11742626875638962,2.1812362e-07,66,0.08438730239868164,177.20068740844727,1709343172.283257,1709343349.1411839,[0.00704077665383617],[0.11742626875638962],"[-0.6089379787445068, -0.6470450162887573, -2.5242362022399902, -0.009830951690673828, 1.7881393432617188e-07]",0.1175801083445549,-2.1806246e-09
0.9437665969363143,76,False,23,relu,0.0030527189996670734,12,3,10,RMSprop,13,circular,prelu,17,0.005870959934197196,-0.03584543243050575,4.301658e-08,372,0.08893132209777832,177.4732847213745,1709343172.2914858,1709343349.273302,[0.04044852373392686],[0.03584543243050575],"[-5.823014736175537, -0.000840306282043457, -0.0036759376525878906, -0.00032079219818115234, -7.987022399902344e-05]",0.03581615537405014,1.8009715e-09
0.06966797866426534,130,True,18,relu6,0.00028750518286557546,19,25,3,Adadelta,10,reflect,elu,32,0.09390268348361856,-0.12815134227275848,4.3221732e-08,354,0.08867669105529785,178.69196438789368,1709343172.2703097,1709343350.6325724,[0.008875236513891391],[0.12815134227275848],"[-147915.671875, -1.6790974140167236, -2.56977915763855, -2.739403486251831, -1.3365557193756104]",0.12829971313476562,-8.612198e-09
0.2886076952998316,69,False,15,softshrink,6.625249847050237e-05,24,24,2,Adagrad,12,constant,gelu,16,0.02796528596358097,-0.13092492520809174,5.7268927e-08,313,0.08805489540100098,179.8967878818512,1709343172.269871,1709343351.8377416,[0.03764044321500338],[0.13092492520809174],"[-2812.063232421875, -1.0173909664154053, -2.8945915699005127, -0.8773949146270752, -5.245208740234375e-06]",0.1310899257659912,3.9493897e-10
0.9546871617489061,181,True,12,hardtanh,1.2333557473174955e-06,16,26,11,RMSprop,11,constant,selu,21,0.06694135053055975,-1.985892653465271,-3.0430238e-07,172,0.08599114418029785,181.2677071094513,1709343172.2929938,1709343353.2083344,[1.96287499666214],[1.985892653465271],"[-2355827.5, -258.1644592285156, -45.02097702026367, -27.761396408081055, -19.540489196777344]",1.9870842695236206,-1.5471382e-07
0.007203827401957576,221,True,19,sigmoid,0.008185054733488186,17,2,15,RMSprop,4,circular,gelu,21,0.09309441423455488,-0.11250754445791245,2.0475758e-07,67,0.08440113067626953,182.34358477592468,1709343172.2818613,1709343354.2848008,[0.0007655128501937725],[0.11250754445791245],"[-28.695817947387695, -0.6135413646697998, -2.371957302093506, -0.00976550579071045, -1.6689300537109375e-06]",0.11265549063682556,-1.2490046e-09
